X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.009417808,0.034466019,0.060412027,0.060412027,0.060412027,0.098411602,0.098411602,0.012915129,0.034466019,0.06041203,0.060412027,0.060412027,0.098411602,0,0,0,0,0,0,0
0,0.018835616,0.068932039,0.120824053,0.120824053,0.120824053,0.196823204,0.196823204,0.025830258,0.068932039,0.12082405,0.120824053,0.120824053,0.196823204,0,0,0,0,0,0,0
0,0.028253425,0.103398058,0.18123608,0.18123608,0.18123608,0.295234807,0.295234807,0.038745387,0.103398058,0.18123608,0.18123608,0.18123608,0.295234807,0,0,0,0,0,0,0
0,0.037671233,0.137864078,0.241648107,0.241648107,0.241648107,0.393646409,0.393646409,0.051660517,0.137864078,0.24164811,0.241648107,0.241648107,0.393646409,0,0,0,0,0,0,0
0,0.047089041,0.172330097,0.302060134,0.302060134,0.302060134,0.492058011,0.492058011,0.064575646,0.172330097,0.30206013,0.302060134,0.302060134,0.492058011,0,0,0,0,0,0,0
0,0.056506849,0.206796117,0.36247216,0.36247216,0.36247216,0.590469613,0.590469613,0.077490775,0.206796117,0.36247216,0.36247216,0.36247216,0.590469613,0,0,0,0,0,0,0
0,0.065924658,0.241262136,0.422884187,0.422884187,0.422884187,0.688881215,0.688881215,0.090405904,0.241262136,0.42288419,0.422884187,0.422884187,0.688881215,0,0,0,0,0,0,0
0,0.075342466,0.275728155,0.483296214,0.483296214,0.483296214,0.787292818,0.787292818,0.103321033,0.275728155,0.48329621,0.483296214,0.483296214,0.787292818,0,0,0,0,0,0,0
0,0.170319635,0.353009709,0.544766147,0.544766147,0.544766147,0.816574586,0.816574586,0.206273063,0.353009709,0.54476615,0.544766147,0.544766147,0.816574586,0,0,0,0,0,0,0
0,0.265296804,0.430291262,0.60623608,0.60623608,0.60623608,0.845856354,0.845856354,0.309225092,0.430291262,0.60623608,0.60623608,0.60623608,0.845856354,0,0,0,0,0,0,0
0,0.360273973,0.507572816,0.667706013,0.667706013,0.667706013,0.875138122,0.875138122,0.412177122,0.507572816,0.66770601,0.667706013,0.667706013,0.875138122,0,0,0,0,0,0,0
0,0.455251142,0.584854369,0.729175947,0.729175947,0.729175947,0.90441989,0.90441989,0.515129151,0.584854369,0.72917595,0.729175947,0.729175947,0.90441989,0,0,0,0,0,0,0
0,0.550228311,0.662135922,0.79064588,0.79064588,0.79064588,0.933701657,0.933701657,0.618081181,0.662135922,0.79064588,0.79064588,0.79064588,0.933701657,0,0,0,0,0,0,0
0,0.621004566,0.723300971,0.820155902,0.820155902,0.820155902,0.944060773,0.944060773,0.679428044,0.723300971,0.8201559,0.820155902,0.820155902,0.944060773,0,0,0,0,0,0,0
0,0.691780822,0.784466019,0.849665924,0.849665924,0.849665924,0.95441989,0.95441989,0.740774908,0.784466019,0.84966592,0.849665924,0.849665924,0.95441989,0,0,0,0,0,0,0
0,0.762557078,0.845631068,0.879175947,0.879175947,0.879175947,0.964779006,0.964779006,0.802121771,0.845631068,0.87917595,0.879175947,0.879175947,0.964779006,0,0,0,0,0,0,0
0,0.833333333,0.906796117,0.908685969,0.908685969,0.908685969,0.975138122,0.975138122,0.863468635,0.906796117,0.90868597,0.908685969,0.908685969,0.975138122,0,0,0,0,0,0,0
0,0.859360731,0.925436893,0.921158129,0.921158129,0.921158129,0.978729282,0.978729282,0.884501845,0.925436893,0.92115813,0.921158129,0.921158129,0.978729282,0,0,0,0,0,0,0
0,0.885388128,0.94407767,0.93363029,0.93363029,0.93363029,0.982320442,0.982320442,0.905535055,0.94407767,0.93363029,0.93363029,0.93363029,0.982320442,0,0,0,0,0,0,0
0,0.911415525,0.962718447,0.94610245,0.94610245,0.94610245,0.985911602,0.985911602,0.926568266,0.962718447,0.94610245,0.94610245,0.94610245,0.985911602,0,0,0,0,0,0,0
0,0.937442922,0.981359223,0.95857461,0.95857461,0.95857461,0.989502762,0.989502762,0.947601476,0.981359223,0.95857461,0.95857461,0.95857461,0.989502762,0,0,0,0,0,0,0
0,0.96347032,1,0.971046771,0.971046771,0.971046771,0.993093923,0.993093923,0.968634686,1,0.97104677,0.971046771,0.971046771,0.993093923,0,0,0,0,0,0,0
0,0.97564688,1,0.980697847,0.980697847,0.980697847,0.995395948,0.995395948,0.979089791,1,0.98069785,0.980697847,0.980697847,0.995395948,0,0,0,0,0,0,0
0,0.98782344,1,0.990348924,0.990348924,0.990348924,0.997697974,0.997697974,0.989544895,1,0.99034892,0.990348924,0.990348924,0.997697974,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0